"","AUR","Price","AgeRating","Size","HasSubtitle","InAppSum","InAppMin","InAppMax","InAppCount","InAppAvg","descriptionTermCount","DevType","LanguagesCount","EngSupported","GenreCount","months","monthsSinceUpdate","GameFree","Ratings"
"6490",4,0,"9+",88985600,0,22.91,0.99,4.99,9,2.54555555555556,137,"Newbie",1,"1",1,"7",48,"0","0"
"6491",4.5,0,"4+",55308288,0,0,0,0,0,0,124,"Newbie",1,"1",2,"10",48,"1","1"
"6492",0,0,"4+",25800704,0,0,0,0,0,0,71,"Newbie",1,"1",2,"8",50,"1","-1"
"6493",4.5,0,"4+",10842112,0,0.99,0.99,0.99,1,0.99,121,"Professional",2,"1",2,"7",51,"0","0"
"6494",4.5,2.99,"9+",557350912,0,0,0,0,0,0,153,"Professional",10,"1",2,"9",17,"1","0"
"6495",0,0.99,"4+",15451136,0,0,0,0,0,0,105,"Newbie",5,"1",2,"10",46,"1","-1"
"6496",0,0,"9+",151629824,0,2.99,2.99,2.99,1,2.99,208,"Newbie",1,"1",2,"8",50,"0","-1"
"6497",4.5,0,"4+",18247680,0,0,0,0,0,0,129,"Professional",1,"1",3,"7",51,"1","0"
"6498",4,3.99,"4+",190688256,1,0,0,0,0,0,229,"Professional",4,"1",3,"8",20,"1","1"
"6499",3.5,0,"4+",26512384,0,1.99,1.99,1.99,1,1.99,1,"Newbie",31,"1",3,"7",48,"0","1"
"6500",2,0,"4+",12787712,0,0,0,0,0,0,64,"Professional",1,"1",3,"7",51,"1","0"
